	SRR23478191	SRR23478195	SRR23478196	SRR23478197	SRR23478198	SRR23478199	SRR23478200	SRR23478201	SRR23478202	SRR23478203	SRR23478204	SRR23478205	SRR23478206	SRR23478207	SRR23478208	SRR23478209	SRR23478210	SRR23478211	SRR23478212	SRR23478213	SRR23478214	SRR23478215	SRR23478216	SRR23478217	SRR23478218	SRR23478220	SRR23478227	SRR23478228	SRR23478229	SRR23478230	SRR23478231	SRR23478232	SRR23478233	SRR23478234	SRR23478235	SRR23478236	SRR23478237	SRR23478238	SRR23478239	SRR23478240	SRR23478241	SRR23478242	SRR23478243	SRR23478244	SRR23478245	SRR23478246	SRR23478247	SRR23478248	SRR23478249	SRR23478250	SRR23478251	SRR23478252	SRR23478253	SRR23478254	SRR23478255	SRR23478256	SRR23478257	SRR23478258	SRR23478259	SRR23478260	SRR23478261	SRR23478262	SRR23478263	SRR23478264	SRR23478265	SRR23478266	SRR23478267	SRR23478268	SRR23478269	SRR23478270	SRR23478271	SRR23478272	SRR23478273	SRR23478274	SRR23478275	SRR23478276	SRR23478277	SRR23478278	SRR23478279	SRR23478280	SRR23478281	SRR23478282	SRR23478283	SRR23478284	SRR23478285	SRR23478286	SRR23478287	SRR23478288	SRR23478289	SRR23478290	SRR23478291	SRR23478292	SRR23478293	SRR23478294	SRR23492483	SRR23492508	SRR23492516	SRR23492517	SRR23492518	SRR23492520	SRR23492521	SRR23492522	SRR23492523	SRR23492524	SRR23492525	SRR23492530	SRR23492531	SRR23492532	SRR23492534	SRR23492545	SRR23492546	SRR23492547	SRR23492549	SRR23492550	SRR23492551	SRR23492553	SRR23492554	SRR23492555	SRR23492556	SRR23492560	SRR29856071	SRR29856073	SRR29856074	SRR29856077	SRR29856079	SRR29856080	SRR29856082	SRR29856083	SRR29856085	SRR29856086	SRR29856087	SRR29856088	SRR29856090	SRR29856091	SRR29856092	SRR29856093	SRR29856094	SRR29856095	SRR29856096	SRR29856097	SRR29856098	SRR29856099	SRR29856102
SRR23478191	0.0	0.9697404045230132	0.947603121516165	0.8921802834846313	0.9523809523809523	0.9109730848861284	0.9394808090460265	0.9491957318044275	0.94951425386208	0.94824016563147	0.9608217869087434	0.9420289855072463	0.9103360407708234	0.8816690555820991	0.9350215002388915	0.9170250039815258	0.9066730371078198	0.9526994744386049	0.9361363274406753	0.9617773530817009	0.9291288421723204	0.8168498168498168	0.9343844561235866	0.8875617136486702	0.9409141583054627	0.926899187768753	0.9737219302436694	0.9404363752189839	0.9073100812231247	0.9114508679726071	0.9246695333651855	0.9477623825449912	0.957955088389871	0.9270584487975793	0.8709985666507406	0.9184583532409619	0.9448956840261188	0.9504698200350374	0.8918617614269788	0.9576365663322185	0.9421882465360726	0.9597069597069597	0.9007803790412486	0.919732441471572	0.9757923236184106	0.9318362796623666	0.8960025481764612	0.9491957318044275	0.9853479853479854	0.9069915591654722	0.9609810479375697	0.9526994744386049	0.9343844561235866	0.9635292243987896	0.8165312947921644	0.854435419652811	0.9468068163720338	0.8270425226946966	0.8979136805223762	0.9748367574454531	0.9254658385093167	0.894569198917025	0.9362955884695016	0.9821627647714605	0.9506290810638637	0.9096989966555183	0.9541328236980411	0.9025322503583373	0.9737219302436694	0.9133620003185221	0.8991877687529861	0.9794553272814143	0.9530179964962574	0.9694218824653608	0.9827998088867654	0.9480809046026437	0.980570154483198	0.9149546106067845	0.9555661729574773	0.9638477464564421	0.9345437171524128	0.9420289855072463	0.9493549928332538	0.9084249084249084	0.9283325370281892	0.9415512024207676	0.937888198757764	0.9601847427934385	0.9082656473960822	0.8934543717152413	0.9464882943143813	0.9488772097467749	0.9593884376493073	0.9622551361681796	0.9439401178531613	0.8996655518394648	0.979933110367893	0.9356585443541965	0.9254658385093167	0.8807134894091416	0.968307055263577	0.9218028348463131	0.9855072463768116	0.94569198917025	0.9620958751393534	0.8851727982162765	0.8942506768593725	0.935977066411849	0.9493549928332538	0.9560439560439561	0.8674948240165632	0.9391622869883739	0.9335881509794554	0.9329511068641504	0.9329511068641504	0.9388437649307214	0.9229176620480968	0.969581143494187	0.9251473164516643	0.9581143494186972	0.9383659818442427	0.924351011307533	0.9425067685937251	0.8321388756171365	0.9116101290014333	0.955406911928651	0.854435419652811	0.9219620958751393	0.8039496735148909	0.9124064341455645	0.8759356585443542	0.9517439082656474	0.883580187928014	0.885491320273929	0.8507724159898072	0.9413919413919414	0.9737219302436694	0.8418537983755375	0.9761108456760631	0.8697244784201306	0.9401178531613315	0.8982322025800287	0.8186016881669056
SRR23478195	0.9697404045230132	0.0	0.9380474597865902	0.9698996655518395	0.9496735148909062	0.9571587832457398	0.9488772097467749	0.956681000159261	0.9539735626692148	0.8760949195731804	0.9705367096671444	0.8811912724956203	0.9526994744386049	0.9394808090460265	0.9711737537824494	0.9181398311833094	0.9391622869883739	0.9329511068641504	0.915273132664437	0.9765886287625418	0.9323140627488453	0.9509476031215162	0.9630514413123109	0.9644847905717471	0.9740404523013219	0.9845516802038541	0.9764293677337156	0.9511068641503424	0.9081063863672559	0.956681000159261	0.9611403089663959	0.955406911928651	0.9710144927536232	0.9765886287625418	0.9552476508998248	0.9619366141105271	0.9498327759197325	0.9238732282210543	0.9404363752189839	0.9732441471571907	0.9356585443541965	0.9781812390508042	0.9025322503583373	0.9577958273610447	0.9802516324255455	0.9584328714763497	0.9141583054626533	0.9673514890906195	0.9804108934543717	0.9514253862079949	0.9410734193342889	0.9705367096671444	0.9823220258002867	0.9655996177735309	0.94696607740086	0.9770664118490205	0.9984073897117376	0.9713330148112757	0.9893295110686415	0.8912247173116739	0.9620958751393534	0.9351807612677178	0.9538143016403886	0.99745182353878	0.9949036470775601	0.7582417582417582	0.9420289855072463	0.9614588310240484	0.9571587832457398	0.990285077241599	0.9538143016403886	0.9796145883102405	0.9832775919732442	0.9617773530817009	0.9530179964962574	0.9692626214365345	0.9912406434145564	0.9595476986781335	0.9769071508201943	0.9636884854276159	0.9620958751393534	0.9542920847268673	0.9716515368689281	0.9638477464564421	0.9116101290014333	0.9539735626692148	0.9968147794234751	0.9648033126293996	0.9385252428730689	0.8904284121675426	0.9820035037426342	0.9692626214365345	0.9775441949354993	0.924988055422838	0.959229176620481	0.9638477464564421	0.9784997611084567	0.9493549928332538	0.9804108934543717	0.9630514413123109	0.9713330148112757	0.9770664118490205	0.9635292243987896	0.9512661251791686	0.9506290810638637	0.9804108934543717	0.9654403567447045	0.8458353240961937	0.9264214046822743	0.9710144927536232	0.9741997133301481	0.9652810957158783	0.9628921802834847	0.9211657907310081	0.9605032648510909	0.957318044274566	0.957318044274566	0.9536550406115624	0.9641662685140946	0.9778627169931517	0.9735626692148431	0.9577958273610447	0.967032967032967	0.9593884376493073	0.9643255295429208	0.9789775441949355	0.9665551839464883	0.9622551361681796	0.9565217391304348	0.9743589743589743	0.967670011148272	0.9657588788023571	0.978659022137283	0.977384933906673	0.9746774964166268	0.9738811912724956	0.9628921802834847	0.990285077241599	0.9816849816849816	0.9649625736582258	0.9369326325848065	0.9757923236184106	0.9718107978977544
SRR23478196	0.947603121516165	0.9380474597865902	0.0	0.852524287306896	0.8009237139671922	0.8899506290810638	0.8241758241758241	0.8416945373467113	0.9754738015607581	0.8372352285395763	0.9069915591654722	0.8859691033604077	0.829909221213569	0.8444019748367575	0.9703774486383182	0.8209906035992992	0.9641662685140946	0.9294473642299729	0.7773530817009078	0.9769071508201943	0.8772097467749642	0.8917025003981526	0.9439401178531613	0.8573021181716833	0.9361363274406753	0.9931517757604714	0.9562032170727823	0.8934543717152413	0.9007803790412486	0.9316770186335404	0.954769867813346	0.9294473642299729	0.9039655996177736	0.9726071030418857	0.9660774008600096	0.945054945054945	0.9332696289218029	0.8920210224558051	0.885491320273929	0.9522216913521261	0.9168657429526995	0.9772256728778468	0.917821309125657	0.94824016563147	0.9807294155120242	0.9022137283006848	0.9307214524605829	0.9343844561235866	0.9928332537028189	0.9442586399108138	0.959229176620481	0.9678292721770982	0.9955406911928651	0.9589106545628284	0.9160694378085682	0.9410734193342889	0.9982481286829112	0.9617773530817009	0.9622551361681796	0.8808727504379679	0.9721293199554069	0.9006211180124224	0.9487179487179487	0.998088867654085	0.9963369963369964	0.8881987577639752	0.9316770186335404	0.9655996177735309	0.9291288421723204	0.9853479853479854	0.9415512024207676	0.9802516324255455	0.9971333014811276	0.9539735626692148	0.977384933906673	0.9493549928332538	0.9869405956362478	0.9652810957158783	0.9802516324255455	0.9490364707756012	0.9555661729574773	0.9734034081860169	0.9706959706959707	0.9748367574454531	0.870043000477783	0.9562032170727823	0.9972925625099538	0.9477623825449912	0.9753145405319318	0.9003025959547699	0.9818442427138079	0.9507883420926899	0.955406911928651	0.9665551839464883	0.947603121516165	0.7456601369644847	0.9552476508998248	0.9141583054626533	0.9904443382704252	0.9636884854276159	0.9562032170727823	0.9528587354674312	0.9628921802834847	0.84472049689441	0.9405956362478102	0.9662366618888358	0.934702978181239	0.8665392578436056	0.8547539417104635	0.9706959706959707	0.9530179964962574	0.9133620003185221	0.7759197324414716	0.8789616180920529	0.9595476986781335	0.914636088549132	0.9246695333651855	0.8434464086637999	0.9345437171524128	0.9012581621277274	0.9386845039018952	0.8633540372670807	0.9117693900302596	0.9394808090460265	0.8429686255773212	0.8730689600254817	0.9326325848064978	0.9273769708552317	0.8789616180920529	0.9671922280617933	0.9380474597865902	0.8458353240961937	0.9208472686733556	0.9571587832457398	0.9627329192546584	0.9775441949354993	0.7410415671285236	0.9926739926739927	0.9941073419334289	0.9202102245580507	0.8130275521579869	0.811753463927377	0.9291288421723204
SRR23478197	0.8921802834846313	0.9698996655518395	0.852524287306896	0.0	0.9135212613473483	0.9426660296225514	0.8389870998566651	0.9020544672718586	0.9730848861283644	0.905558209906036	0.9179805701544832	0.9490364707756012	0.873228221054308	0.9214843127886606	0.9534957795827361	0.8975951584647237	0.9640070074852684	0.9493549928332538	0.8573021181716833	0.9859850294632904	0.9205287466157032	0.9052396878483835	0.9429845516802039	0.8362796623666189	0.9319955406911928	0.987099856665074	0.9886924669533366	0.9157509157509157	0.9265806657111005	0.9288103201146679	0.9538143016403886	0.9326325848064978	0.9179805701544832	0.9515846472368211	0.9493549928332538	0.9370918936136328	0.9108138238573021	0.9316770186335404	0.9122471731167383	0.957318044274566	0.9331103678929766	0.9781812390508042	0.9542920847268673	0.9498327759197325	0.9812071985985029	0.9657588788023571	0.9477623825449912	0.9576365663322185	0.9891702500398153	0.9452142060837713	0.9582736104475235	0.9705367096671444	0.9418697244784201	0.9858257684344641	0.9046026437330785	0.9205287466157032	0.9807294155120242	0.9299251473164517	0.9452142060837713	0.9437808568243351	0.9643255295429208	0.9079471253384297	0.9515846472368211	0.9917184265010351	0.9729256250995382	0.94569198917025	0.9616180920528746	0.9574773053033923	0.9687848383500557	0.990285077241599	0.9413919413919414	0.9855072463768116	0.9646440516005733	0.9837553750597229	0.9697404045230132	0.9606625258799172	0.9853479853479854	0.9541328236980411	0.9703774486383182	0.9823220258002867	0.9616180920528746	0.9418697244784201	0.9775441949354993	0.9550883898709985	0.9329511068641504	0.9732441471571907	0.9391622869883739	0.9778627169931517	0.9802516324255455	0.9433030737378564	0.977384933906673	0.9837553750597229	0.9796145883102405	0.967670011148272	0.9732441471571907	0.8780060519190954	0.990285077241599	0.9622551361681796	0.9523809523809523	0.9327918458353242	0.9597069597069597	0.9286510590858417	0.9724478420130594	0.902372989329511	0.9691033604077083	0.9262621436534481	0.9318362796623666	0.9167064819238733	0.9307214524605829	0.9888517279821628	0.9571587832457398	0.9326325848064978	0.8808727504379679	0.9383659818442427	0.957318044274566	0.9340659340659341	0.9358178053830227	0.9163879598662207	0.922439878961618	0.9222806179327918	0.9464882943143813	0.9638477464564421	0.9305621914317567	0.9302436693741042	0.8794394011785316	0.9781812390508042	0.9079471253384297	0.9600254817646122	0.875139353400223	0.9544513457556936	0.9090619525402134	0.8975951584647237	0.9324733237776716	0.9721293199554069	0.9240324892498806	0.9797738493390667	0.9534957795827361	0.9151138716356108	0.9901258162127727	0.9491957318044275	0.8889950629081064	0.8947284599458513	0.917184265010352
SRR23478198	0.9523809523809523	0.9496735148909062	0.8009237139671922	0.9135212613473483	0.0	0.9122471731167383	0.8754578754578755	0.894569198917025	0.957318044274566	0.8837394489568403	0.9246695333651855	0.9125656951743908	0.8840579710144928	0.8216276477146043	0.9440993788819876	0.8023570632266285	0.9125656951743908	0.9531772575250836	0.7862716993151776	0.9678292721770982	0.8816690555820991	0.8582576843446409	0.934702978181239	0.8165312947921644	0.8861283643892339	0.9734034081860169	0.9807294155120242	0.9125656951743908	0.8249721293199554	0.9079471253384297	0.9440993788819876	0.94824016563147	0.8504538939321548	0.9612995699952221	0.950151297977385	0.8888358018792801	0.9426660296225514	0.8721133938525243	0.9090619525402134	0.9267399267399268	0.8764134416308329	0.9530179964962574	0.8778467908902692	0.9633699633699634	0.9617773530817009	0.9288103201146679	0.9304029304029304	0.906832298136646	0.9920369485586877	0.8991877687529861	0.9251473164516643	0.9084249084249084	0.9933110367892977	0.985188724319159	0.912724956203217	0.9831183309444179	0.9920369485586877	0.9694218824653608	0.9691033604077083	0.8708393056219144	0.9619366141105271	0.9167064819238733	0.9125656951743908	0.99745182353878	0.9944258639910813	0.8749800923713967	0.8655836916706482	0.9409141583054627	0.919732441471572	0.9850294632903328	0.9391622869883739	0.9874183787227265	0.9963369963369964	0.9906035992992515	0.9519031692944736	0.9791368052237618	0.9882146838668577	0.9329511068641504	0.9727663640707119	0.9431438127090301	0.9808886765408504	0.9104953017996497	0.937888198757764	0.9823220258002867	0.905558209906036	0.959229176620481	0.9848702022615066	0.9719700589265806	0.9434623347666826	0.9076286032807772	0.9388437649307214	0.9772256728778468	0.9734034081860169	0.905558209906036	0.9340659340659341	0.9092212135690396	0.9934702978181239	0.9420289855072463	0.9800923713967192	0.969581143494187	0.9722885809842332	0.9292881032011466	0.9417104634495939	0.8585762064022934	0.965121834687052	0.9730848861283644	0.9053989488772097	0.8655836916706482	0.8733874820831342	0.9748367574454531	0.9428252906513777	0.9390030259595477	0.8875617136486702	0.8878802357063227	0.9136805223761746	0.8662207357859532	0.9421882465360726	0.9560439560439561	0.9230769230769231	0.9332696289218029	0.9523809523809523	0.9409141583054627	0.94824016563147	0.9452142060837713	0.8316610925306578	0.9944258639910813	0.9025322503583373	0.9512661251791686	0.9458512501990762	0.9756330625895844	0.9315177576047141	0.9409141583054627	0.9426660296225514	0.9605032648510909	0.9412326803631151	0.9772256728778468	0.9612995699952221	0.9726071030418857	0.9888517279821628	0.9436215957955089	0.8248128682911292	0.9116101290014333	0.8802357063226628
SRR23478199	0.9109730848861284	0.9571587832457398	0.8899506290810638	0.9426660296225514	0.9122471731167383	0.0	0.6494664755534321	0.8308647873865265	0.9401178531613315	0.8907469342251951	0.8789616180920529	0.4335085204650422	0.8413760152890588	0.8853320592451027	0.9273769708552317	0.8979136805223762	0.9128842172320433	0.507087115782768	0.7066411849020545	0.9205287466157032	0.89520624303233	0.8834209268991877	0.9313584965758879	0.8681318681318682	0.8780060519190954	0.9729256250995382	0.47889791368052237	0.8780060519190954	0.8211498646281254	0.9100175187131709	0.9361363274406753	0.9214843127886606	0.9079471253384297	0.9181398311833094	0.9225991399904443	0.9128842172320433	0.9057174709348622	0.9262621436534481	0.8316610925306578	0.9270584487975793	0.8423315814620163	0.9394808090460265	0.854435419652811	0.9401178531613315	0.9729256250995382	0.8682911291606944	0.8985507246376812	0.9167064819238733	0.9866220735785953	0.9136805223761746	0.9609810479375697	0.9120879120879121	0.9756330625895844	0.9218028348463131	0.8010829749960184	0.9194139194139194	0.9264214046822743	0.9248287943940118	0.9483994266602962	0.9515846472368211	0.9437808568243351	0.8358018792801402	0.8781653129479217	0.9947443860487338	0.9531772575250836	0.9033285555024686	0.9090619525402134	0.8993470297818124	0.8746615703137443	0.9460105112279026	0.8987099856665074	0.9769071508201943	0.9918776875298615	0.7447045707915273	0.9708552317247969	0.9483994266602962	0.9915591654722089	0.8776875298614429	0.9485586876891224	0.4484790571747094	0.6770186335403726	0.8639910813823858	0.9036470775601211	0.8991877687529861	0.6744704570791528	0.9299251473164517	0.9885332059245103	0.8818283166109253	0.9187768752986144	0.8138238573021181	0.9329511068641504	0.8902691511387164	0.8714763497372193	0.9265806657111005	0.6198439241917503	0.7427934384456124	0.48017200191113235	0.8507724159898072	0.9276954929128842	0.9410734193342889	0.9622551361681796	0.914636088549132	0.9342251950947603	0.8721133938525243	0.6709667144449754	0.9523809523809523	0.9138397834050008	0.903010033444816	0.8279980888676541	0.9076286032807772	0.8858098423315814	0.9100175187131709	0.8979136805223762	0.8920210224558051	0.917821309125657	0.9377289377289377	0.8988692466953336	0.9525402134097787	0.9581143494186972	0.9490364707756012	0.9396400700748527	0.527154005414875	0.9307214524605829	0.7262302914476828	0.8536391145086797	0.4782608695652174	0.8899506290810638	0.48494983277591974	0.89265806657111	0.9463290332855551	0.9168657429526995	0.5613951266125179	0.8832616658703615	0.8633540372670807	0.8913839783405001	0.9589106545628284	0.9031692944736422	0.9479216435738175	0.9538143016403886	0.8891543239369326	0.8496575887880236	0.9315177576047141	0.8748208313425705
SRR23478200	0.9394808090460265	0.9488772097467749	0.8241758241758241	0.8389870998566651	0.8754578754578755	0.6494664755534321	0.0	0.7298932951106865	0.9103360407708234	0.8265647396082179	0.8775282688326167	0.7163561076604554	0.6945373467112598	0.8666985188724319	0.9001433349259437	0.7951903169294474	0.8791208791208791	0.7134894091415831	0.6846631629240325	0.9539735626692148	0.8663799968147794	0.8416945373467113	0.8716356107660456	0.7421563943303073	0.8577799012581622	0.9587513935340022	0.7886606147475713	0.862239210065297	0.8292721770982641	0.8773690078037905	0.8815097945532728	0.8702022615066093	0.8010829749960184	0.9608217869087434	0.9211657907310081	0.8966395922917662	0.8587354674311196	0.8808727504379679	0.8294314381270903	0.9323140627488453	0.8262462175505654	0.9227584010192705	0.8964803312629399	0.887402452619844	0.9649625736582258	0.930084408345278	0.8248128682911292	0.8859691033604077	0.9910813823857302	0.8012422360248447	0.9017359452142061	0.883580187928014	0.9827998088867654	0.9480809046026437	0.8404204491161013	0.9405956362478102	0.9878961618092053	0.9542920847268673	0.9781812390508042	0.8816690555820991	0.9139990444338271	0.8587354674311196	0.8383500557413601	0.9796145883102405	0.9928332537028189	0.8716356107660456	0.872591176939003	0.8899506290810638	0.8737060041407867	0.982481286829113	0.9154323936932632	0.9686255773212294	0.9955406911928651	0.7719382067208154	0.9431438127090301	0.9749960184742793	0.9823220258002867	0.8896321070234113	0.9597069597069597	0.7450230928491798	0.7665233317407231	0.9162286988373944	0.9479216435738175	0.9710144927536232	0.6564739608217869	0.9093804745978659	0.9920369485586877	0.8276795668100015	0.9369326325848065	0.8522057652492435	0.9383659818442427	0.9076286032807772	0.8606465997770345	0.9139990444338271	0.7007485268354834	0.6602962255136168	0.7910495301799649	0.8399426660296225	0.9609810479375697	0.9442586399108138	0.9442586399108138	0.8714763497372193	0.9237139671922281	0.8708393056219144	0.7494824016563147	0.9611403089663959	0.8590539894887721	0.8596910336040771	0.8901098901098901	0.9374104156712852	0.8485427615862399	0.8630355152094282	0.8737060041407867	0.8315018315018315	0.9106545628284759	0.8679726071030419	0.8800764452938366	0.9001433349259437	0.9542920847268673	0.935977066411849	0.9299251473164517	0.7150820194298455	0.8889950629081064	0.7818123905080426	0.832457397674789	0.7805383022774327	0.8803949673514891	0.757445453097627	0.8760949195731804	0.9600254817646122	0.9225991399904443	0.7313266443701226	0.9089026915113871	0.9493549928332538	0.9192546583850931	0.9614588310240484	0.9026915113871635	0.9769071508201943	0.9891702500398153	0.9453734671125975	0.8119127249562033	0.8960025481764612	0.9120879120879121
SRR23478201	0.9491957318044275	0.956681000159261	0.8416945373467113	0.9020544672718586	0.894569198917025	0.8308647873865265	0.7298932951106865	0.0	0.9534957795827361	0.702500398152572	0.8566650740563784	0.8670170409300844	0.7928014014970537	0.8450390189520625	0.9431438127090301	0.8501353718745023	0.9116101290014333	0.8913839783405001	0.7937569676700111	0.9713330148112757	0.8902691511387164	0.8568243350852046	0.8746615703137443	0.7582417582417582	0.7805383022774327	0.9859850294632904	0.916547220895047	0.8256091734352604	0.7888198757763976	0.8380315336837076	0.855072463768116	0.8665392578436056	0.7544194935499283	0.9802516324255455	0.9654403567447045	0.9296066252587992	0.7642936773371556	0.8867654085045389	0.8780060519190954	0.9254658385093167	0.8845357541009715	0.9654403567447045	0.9227584010192705	0.9434623347666826	0.9734034081860169	0.9437808568243351	0.9061952540213409	0.9190953973562669	0.9912406434145564	0.8861283643892339	0.9536550406115624	0.9124064341455645	0.9937888198757764	0.9624143971970059	0.8557095078834209	0.9550883898709985	0.989010989010989	0.9323140627488453	0.970218187609492	0.9316770186335404	0.9546106067845198	0.8125497690715082	0.8972766364070712	0.9928332537028189	0.9949036470775601	0.9066730371078198	0.9323140627488453	0.9415512024207676	0.8979136805223762	0.9917184265010351	0.9606625258799172	0.9751552795031055	0.9966555183946488	0.9050804268195572	0.9706959706959707	0.9832775919732442	0.989010989010989	0.9318362796623666	0.9777034559643255	0.8808727504379679	0.9007803790412486	0.9519031692944736	0.979296066252588	0.9735626692148431	0.8238573021181717	0.9240324892498806	0.99745182353878	0.8600095556617295	0.969581143494187	0.8931358496575887	0.978021978021978	0.9089026915113871	0.9038063385889473	0.9541328236980411	0.8722726548813505	0.820831342570473	0.9200509635292244	0.894569198917025	0.9821627647714605	0.9638477464564421	0.9393215480172001	0.8773690078037905	0.9232361841057494	0.8625577321229495	0.8950469820035037	0.9517439082656474	0.8346870520783565	0.7126931039974518	0.8619206880076445	0.9593884376493073	0.907469342251951	0.8002866698518872	0.9018952062430323	0.8819875776397516	0.94569198917025	0.7861124382863514	0.9225991399904443	0.7306896002548177	0.9576365663322185	0.9574773053033923	0.9458512501990762	0.8569835961140309	0.8665392578436056	0.8980729415512024	0.7391304347826086	0.917821309125657	0.8910654562828476	0.8909061952540214	0.8717948717948718	0.9640070074852684	0.930084408345278	0.8705207835642619	0.94824016563147	0.9577958273610447	0.9434623347666826	0.9791368052237618	0.8944099378881988	0.9668737060041408	0.9949036470775601	0.957318044274566	0.9240324892498806	0.9434623347666826	0.9205287466157032
SRR23478202	0.94951425386208	0.9539735626692148	0.9754738015607581	0.9730848861283644	0.957318044274566	0.9401178531613315	0.9103360407708234	0.9534957795827361	0.0	0.915910176779742	0.9657588788023571	0.9210065297021819	0.9299251473164517	0.8866061474757126	0.44991240643414554	0.9261028826246217	0.8609651218346871	0.5492912884217233	0.9205287466157032	0.902372989329511	0.8171683389074693	0.8931358496575887	0.8748208313425705	0.9361363274406753	0.917184265010352	0.9089026915113871	0.9923554706163402	0.9020544672718586	0.8843764930721453	0.7821309125656952	0.609332696289218	0.47873865265169613	0.9377289377289377	0.9474438604873388	0.855072463768116	0.390030259595477	0.63513298295907	0.8437649307214524	0.8885172798216276	0.8287943940117853	0.8077719382067208	0.8630355152094282	0.8136645962732919	0.7348303870043	0.9321548017200191	0.8702022615066093	0.6978818283166109	0.6731963688485427	0.48845357541009715	0.8832616658703615	0.6102882624621755	0.8975951584647237	0.5422838031533683	0.792323618410575	0.8631947762382545	0.9135212613473483	0.9628921802834847	0.8889950629081064	0.9087434304825609	0.8807134894091416	0.5613951266125179	0.8241758241758241	0.8063385889472846	0.9691033604077083	0.9609810479375697	0.8200350374263418	0.8348463131071827	0.745819397993311	0.9622551361681796	0.9063545150501672	0.792323618410575	0.9550883898709985	0.6246217550565377	0.6141105271540054	0.43080108297499603	0.8125497690715082	0.9711737537824494	0.8609651218346871	0.9176620480968307	0.9415512024207676	0.781971651536869	0.8358018792801402	0.8795986622073578	0.8964803312629399	0.8107978977544195	0.8373944895684026	0.978021978021978	0.8931358496575887	0.8130275521579869	0.789775441949355	0.8485427615862399	0.8657429526994744	0.9409141583054627	0.819557254339863	0.863513298295907	0.954769867813346	0.9918776875298615	0.9520624303232998	0.8444019748367575	0.9093804745978659	0.8888358018792801	0.885491320273929	0.9671922280617933	0.9052396878483835	0.8741837872272655	0.9022137283006848	0.8729096989966555	0.9307214524605829	0.9681477942347507	0.8307055263577002	0.8776875298614429	0.9390030259595477	0.9820035037426342	0.8125497690715082	0.8940914158305463	0.8827838827838828	0.9006211180124224	0.957318044274566	0.9691033604077083	0.9761108456760631	0.9818442427138079	0.8909061952540214	0.9350215002388915	0.877050485746138	0.9520624303232998	0.9894887720974678	0.89520624303233	0.9821627647714605	0.9149546106067845	0.934702978181239	0.8843764930721453	0.985188724319159	0.8205128205128205	0.8219461697722568	0.8838987099856666	0.4730052556139513	0.9875776397515528	0.895843287147635	0.6962892180283484	0.9022137283006848	0.9434623347666826	0.945054945054945	0.8420130594043638
SRR23478203	0.94824016563147	0.8760949195731804	0.8372352285395763	0.905558209906036	0.8837394489568403	0.8907469342251951	0.8265647396082179	0.702500398152572	0.915910176779742	0.0	0.8999840738971173	0.7899347029781812	0.6954929128842172	0.748367574454531	0.9343844561235866	0.6395922917662048	0.7587195413282369	0.9294473642299729	0.7713011626055104	0.9327918458353242	0.7217709826405478	0.7171524128045867	0.717948717948718	0.7958273610447524	0.6911928651059086	0.9437808568243351	0.9710144927536232	0.6892817327599936	0.602165949992037	0.8643096034400383	0.7929606625258799	0.8050645007166747	0.772256728778468	0.9222806179327918	0.9025322503583373	0.9087434304825609	0.7418378722726549	0.7389711737537824	0.874502309284918	0.8850135371874502	0.8109571587832457	0.907469342251951	0.7437490046185699	0.8502946329033285	0.9612995699952221	0.9009396400700749	0.8144609014174231	0.8235387800605192	0.9829590699155917	0.6969262621436535	0.7892976588628763	0.852524287306896	0.9859850294632904	0.9625736582258322	0.8816690555820991	0.9608217869087434	0.987099856665074	0.9361363274406753	0.9585921325051759	0.6579073100812232	0.8881987577639752	0.7951903169294474	0.7861124382863514	0.9843924191750278	0.9834368530020704	0.7525083612040134	0.7754419493549929	0.8205128205128205	0.9511068641503424	0.9751552795031055	0.8678133460742157	0.9711737537824494	0.9875776397515528	0.9490364707756012	0.9433030737378564	0.9491957318044275	0.9853479853479854	0.831820353559484	0.9562032170727823	0.9233954451345756	0.9512661251791686	0.8017200191113235	0.9388437649307214	0.9636884854276159	0.8112756808408982	0.8902691511387164	0.9910813823857302	0.9339066730371078	0.8996655518394648	0.8014014970536709	0.9474438604873388	0.9463290332855551	0.959229176620481	0.8571428571428571	0.9163879598662207	0.8936136327440676	0.9753145405319318	0.9095397356266921	0.968307055263577	0.9421882465360726	0.9331103678929766	0.8308647873865265	0.9014174231565536	0.7518713170887084	0.9254658385093167	0.9514253862079949	0.8587354674311196	0.682433508520465	0.7786271699315177	0.9362955884695016	0.8778467908902692	0.7961458831024049	0.9141583054626533	0.8241758241758241	0.9248287943940118	0.7310081223124701	0.8929765886287625	0.7808568243350852	0.9522216913521261	0.9452142060837713	0.9608217869087434	0.8929765886287625	0.8972766364070712	0.8953655040611562	0.7569676700111483	0.9660774008600096	0.8789616180920529	0.9445771619684663	0.9007803790412486	0.9522216913521261	0.9483994266602962	0.9418697244784201	0.9276954929128842	0.9093804745978659	0.9343844561235866	0.9698996655518395	0.904921165790731	0.9633699633699634	0.9808886765408504	0.939799331103679	0.7948717948717948	0.9356585443541965	0.9232361841057494
