#SampleID	shannon_entropy
SRR23478191	4.522554783842669
SRR23478195	1.1144603583549977
SRR23478196	4.92239220436548
SRR23478197	3.59909964908091
SRR23478198	4.197447002539622
SRR23478199	3.550287501619999
SRR23478200	4.558244015818157
SRR23478201	3.870800514608874
SRR23478202	3.843440307362917
SRR23478203	5.042641458267326
SRR23478204	4.681693708660893
SRR23478205	3.0879684448218168
SRR23478206	4.398034936993793
SRR23478207	5.061900131081925
SRR23478208	3.092527992104962
SRR23478209	4.997534736692885
SRR23478210	5.169658000103015
SRR23478211	2.259247552203983
SRR23478212	4.859441225576442
SRR23478213	3.344116972913443
SRR23478214	5.029909884604205
SRR23478215	4.9942356034332684
SRR23478216	4.163054818308947
SRR23478217	4.177004108812895
SRR23478218	4.628210650987567
SRR23478220	5.27844432262696
SRR23478227	1.2706503784915135
SRR23478228	4.484067692169253
SRR23478229	5.261214550151977
SRR23478230	3.970500265934198
SRR23478231	4.043178609325047
SRR23478232	3.7021343837443235
SRR23478233	4.655854820261448
SRR23478234	5.574785674402022
SRR23478235	6.110457617924238
SRR23478236	2.893267400162471
SRR23478237	4.328382945560949
SRR23478238	4.515020135726269
SRR23478239	4.815214258552623
SRR23478240	4.086128112723172
SRR23478241	5.4659789145906625
SRR23478242	4.834667639679726
SRR23478243	5.599910962239951
SRR23478244	4.958051621401201
SRR23478245	4.669407460036219
SRR23478246	5.516535670033364
SRR23478247	4.896052340343448
SRR23478248	5.14923534230974
SRR23478249	0.8498383249594567
SRR23478250	5.358664583212142
SRR23478251	3.843205636617557
SRR23478252	2.709697111203882
SRR23478253	3.873712754579971
SRR23478254	3.0019445219014926
SRR23478255	5.559550617066584
SRR23478256	4.65519050515255
SRR23478257	3.814958433680575
SRR23478258	5.843536539915418
SRR23478259	5.194403308409007
SRR23478260	4.818246935565047
SRR23478261	4.804069287372939
SRR23478262	6.027675384886626
SRR23478263	5.061738251200347
SRR23478264	3.5529041492929463
SRR23478265	4.899123134911648
SRR23478266	4.555361623281921
SRR23478267	4.5273467722633205
SRR23478268	5.308172807453727
SRR23478269	3.828799339392202
SRR23478270	4.582312507835304
SRR23478271	4.965185640572743
SRR23478272	4.588280751322867
SRR23478273	4.634798993827113
SRR23478274	3.1487255342349365
SRR23478275	2.9982195677943717
SRR23478276	5.991824808871125
SRR23478277	2.941021939340876
SRR23478278	4.873974200330978
SRR23478279	4.832800003903596
SRR23478280	2.8970136332180996
SRR23478281	4.4038416942934715
SRR23478282	5.189521608554119
SRR23478283	4.468394619724763
SRR23478284	4.605618754285752
SRR23478285	5.149788552888442
SRR23478286	5.545598442819431
SRR23478287	4.364741310942984
SRR23478288	4.637581774092384
SRR23478289	5.28752297540459
SRR23478290	5.982685745173382
SRR23478291	5.235967109364802
SRR23478292	5.549138950617405
SRR23478293	5.22888321840609
SRR23478294	4.946440447066338
SRR23492483	4.138304928197181
SRR23492508	4.630211699816797
SRR23492516	1.442442816721246
SRR23492517	4.253676382104179
SRR23492518	5.025759700272668
SRR23492520	4.976412540153412
SRR23492521	4.126767215754796
SRR23492522	4.763995937132811
SRR23492523	2.9621774359423383
SRR23492524	4.995926140372801
SRR23492525	4.207793226820669
SRR23492530	4.2131715080071785
SRR23492531	5.189013623219424
SRR23492532	5.066642997011058
SRR23492534	4.246139256318242
SRR23492545	3.1598228502833323
SRR23492546	4.956127410703871
SRR23492547	4.08655517583483
SRR23492549	4.9990925881305746
SRR23492550	5.452075152483065
SRR23492551	4.304792519066253
SRR23492553	4.8224416886507
SRR23492554	5.694773091644777
SRR23492555	3.421649109539247
SRR23492556	4.347560716498017
SRR23492560	4.614513290753675
SRR29856071	3.288194692565311
SRR29856073	3.573319947790313
SRR29856074	4.70217381354708
SRR29856077	4.9705430975346605
SRR29856079	4.731007424851084
SRR29856080	2.1743163081214347
SRR29856082	4.929836061482295
SRR29856083	1.8588829289235136
SRR29856085	5.36622700606381
SRR29856086	4.691691147058945
SRR29856087	4.758235538636011
SRR29856088	3.8304124922106824
SRR29856090	4.762851395659873
SRR29856091	4.392945190387126
SRR29856092	4.530144529755671
SRR29856093	1.4914563960696037
SRR29856094	4.385201690403904
SRR29856095	4.2432339715858545
SRR29856096	4.838827955734568
SRR29856097	4.433908304377954
SRR29856098	5.196994314495961
SRR29856099	3.91329072010313
SRR29856102	5.561358032868163
