#SampleID	faith_pd
SRR23478191	10.27182676354536
SRR23478195	8.149965233906038
SRR23478196	12.87831788803418
SRR23478197	7.907863187410987
SRR23478198	9.236992705635519
SRR23478199	9.646841688686486
SRR23478200	9.631064040258419
SRR23478201	8.424966198771953
SRR23478202	13.72579355038895
SRR23478203	16.13953195627893
SRR23478204	12.28762165361824
SRR23478205	12.68866958003927
SRR23478206	9.18771042901527
SRR23478207	15.93760216838741
SRR23478208	13.25571832950258
SRR23478209	17.47462736081238
SRR23478210	15.60298230119228
SRR23478211	9.817130107270113
SRR23478212	12.48915664265182
SRR23478213	15.71210876263564
SRR23478214	16.33011968147214
SRR23478215	13.62130901082795
SRR23478216	11.93697940321719
SRR23478217	9.586521891672078
SRR23478218	11.45473521583289
SRR23478220	19.22028403126762
SRR23478227	6.925433405806666
SRR23478228	14.26067477749802
SRR23478229	9.19925678810419
SRR23478230	11.89640110352162
SRR23478231	15.35412948354486
SRR23478232	11.25356855891323
SRR23478233	9.646373882452286
SRR23478234	16.38177850218467
SRR23478235	20.36944494696692
SRR23478236	11.81731170483665
SRR23478237	11.76141204173465
SRR23478238	14.04986939823599
SRR23478239	13.1776723214959
SRR23478240	14.19397717195588
SRR23478241	15.45200647432047
SRR23478242	15.63027233714619
SRR23478243	16.23545256939406
SRR23478244	18.56560302722258
SRR23478245	15.19134332679888
SRR23478246	14.8387918948169
SRR23478247	16.70535470804819
SRR23478248	15.59539630648324
SRR23478249	9.472961132471699
SRR23478250	13.65378093834752
SRR23478251	12.82245366677248
SRR23478252	10.35807687581262
SRR23478253	14.00275652711433
SRR23478254	10.26408810670475
SRR23478255	17.3489256759982
SRR23478256	13.80958626269912
SRR23478257	12.37763115316015
SRR23478258	15.98011025634683
SRR23478259	15.68222020143187
SRR23478260	19.66482414778662
SRR23478261	20.1523032576856
SRR23478262	20.67888472199343
SRR23478263	14.44899844967329
SRR23478264	17.09194121941555
SRR23478265	14.38689957891507
SRR23478266	9.526243301498059
SRR23478267	12.62306417147375
SRR23478268	17.2839600466884
SRR23478269	21.61260849361094
SRR23478270	13.81883408760627
SRR23478271	12.3627060636826
SRR23478272	17.95175564691811
SRR23478273	15.66187485712467
SRR23478274	15.07767804072223
SRR23478275	13.36403501830321
SRR23478276	20.11504502799985
SRR23478277	16.03115612097215
SRR23478278	17.30400117089104
SRR23478279	18.36608203040229
SRR23478280	13.91247883305108
SRR23478281	14.32008005159323
SRR23478282	13.61957318152738
SRR23478283	11.64118003095475
SRR23478284	13.79276451159459
SRR23478285	17.49576678762448
SRR23478286	22.23483908275909
SRR23478287	11.63426802699379
SRR23478288	18.66877148590543
SRR23478289	18.07181791322353
SRR23478290	20.63529890187142
SRR23478291	17.95568741921929
SRR23478292	15.83019448202346
SRR23478293	19.78918668187745
SRR23478294	16.12979400043185
SRR23492483	14.29177199565826
SRR23492508	10.11384826443572
SRR23492516	7.069138050792599
SRR23492517	14.2952026232959
SRR23492518	13.91055414986644
SRR23492520	20.16605992398559
SRR23492521	13.38828700209399
SRR23492522	12.00998794008581
SRR23492523	8.042067635056469
SRR23492524	10.67735358410762
SRR23492525	19.83785203642536
SRR23492530	9.361185355011987
SRR23492531	18.64810894315783
SRR23492532	12.95530639166273
SRR23492534	8.994143252522989
SRR23492545	15.12454096694632
SRR23492546	15.99396373838149
SRR23492547	10.8138943318125
SRR23492549	12.10035123742947
SRR23492550	17.8914436750486
SRR23492551	15.04877540784344
SRR23492553	13.28996665011465
SRR23492554	20.93844339893622
SRR23492555	15.0368185575532
SRR23492556	16.53418702957015
SRR23492560	17.53060534614222
SRR29856071	9.718172594523145
SRR29856073	9.590810792099989
SRR29856074	15.2921872374185
SRR29856077	12.47520946875974
SRR29856079	8.512989111211292
SRR29856080	12.56217275302014
SRR29856082	12.50669843017105
SRR29856083	4.439307358706658
SRR29856085	13.35391958439777
SRR29856086	10.48549363883174
SRR29856087	12.01512488333302
SRR29856088	16.29700618995233
SRR29856090	11.52765705115113
SRR29856091	11.7765085558411
SRR29856092	9.55827284663853
SRR29856093	8.311548470528926
SRR29856094	15.32690483485881
SRR29856095	11.32800127654991
SRR29856096	13.91695398798789
SRR29856097	14.08170924418945
SRR29856098	12.68417441762948
SRR29856099	9.535517605478937
SRR29856102	18.05339288503135
