,Label,Id_high,cluster_high,degree_high,betweenness_high,closeness_high,eigenvector_high,abundance_high,Id_low,cluster_low,degree_low,betweenness_low,closeness_low,eigenvector_low,abundance_low,Id_pibd,cluster_pibd,degree_pibd,betweenness_pibd,closeness_pibd,eigenvector_pibd,abundance_pibd,phylum
28,Alitiscatomonas,102.0,I,0.0053191489361702,0.0,0.418922929646,0.0094757994947533,64.0,66.0,II,0.0106382978723404,0.0,0.461952063795671,0.0938459336875117,114.0,,,,,,,,Bacillota_A_368345
59,Eisenbergiella,103.0,I,0.0106382978723404,0.0,0.473395349928682,0.0136099302812391,1675.0,,,,,,,,66.0,VI,0.0106382978723404,0.0246913580246914,0.495214527539448,0.124125981203239,844.0,Bacillota_A_368345
3,1_Bacteria(K),,,,,,,,,,,,,,,1.0,V,0.0159574468085106,0.0009259259259259,0.381952174406141,0.0005024227982514,210.0,__
9,1_Clostridiaceae_222000(F),,,,,,,,67.0,II,0.0106382978723404,0.0,0.47309937166253,0.183981826894375,69.0,62.0,V,0.0265957446808511,0.0802469135802469,0.574104193876458,0.0093079053698855,1413.0,Bacillota_A_368345
10,1_Coprobacillaceae(F),,,,,,,,86.0,V,0.0053191489361702,0.0,0.352742034832903,0.0086342671659186,131.0,,,,,,,,Bacillota_I
12,1_Enterobacteriaceae_A_725029(F),,,,,,,,63.0,V,0.0106382978723404,0.0399917542774686,0.370046677881008,0.0089543029214616,1188.0,60.0,V,0.0159574468085106,0.0,0.469700392190103,0.0035988781506337,46.0,Pseudomonadota
13,1_Lachnospiraceae(F),,,,,,,,10.0,0,0.0,0.0,0.0,0.0,531.0,11.0,III,0.0265957446808511,0.0086419753086419,0.568648821802409,0.0227474685441917,882.0,Bacillota_A_368345
16,1_Peptostreptococcaceae_256921(F),,,,,,,,,,,,,,,26.0,II,0.0159574468085106,0.0,0.520289342566557,0.0059230699440207,106.0,Bacillota_A_368345
18,2_CAG-508(F),,,,,,,,30.0,I,0.0053191489361702,0.0,0.415058161859224,0.0020378472294739,182.0,,,,,,,,Bacillota_A_368345
21,Acidaminococcus,,,,,,,,76.0,VI,0.0106382978723404,0.0202020202020202,0.348568448857858,0.0083983267492675,552.0,,,,,,,,Bacillota_C
22,Adlercreutzia_A_404257,,,,,,,,98.0,III,0.0106382978723404,0.0,0.44821137660044,0.0267245417699653,236.0,,,,,,,,Actinomycetota
39,Blautia_A_141780,,,,,,,,7.0,II,0.0531914893617021,0.0037105751391465,0.596695529438937,0.688432664685398,935.0,8.0,III,0.0478723404255319,0.109567901234568,0.657197558463669,0.056569971759351,1450.0,Bacillota_A_368345
42,Bulleidia,,,,,,,,23.0,II,0.0319148936170213,0.0020614306328592,0.521115264477538,0.330439896392774,152.0,,,,,,,,Bacillota_I
47,Clostridium_AQ,,,,,,,,11.0,II,0.0638297872340425,0.106575963718821,0.659081188960765,0.762991474683574,809.0,12.0,III,0.0265957446808511,0.0003086419753086,0.566026320143274,0.0242667200761324,581.0,Bacillota_I
54,Dialister_36337,,,,,,,,,,,,,,,29.0,V,0.0106382978723404,0.0237654320987654,0.419901418061112,0.0010854704121614,540.0,Bacillota_C
62,Enterococcus_H_360604,,,,,,,,16.0,V,0.0159574468085106,0.0789527932385075,0.467161305427472,0.0821397288218394,1040.0,18.0,II,0.0106382978723404,0.0246913580246914,0.42212435691307,0.0009368096371295,781.0,Bacillota_I
63,Escherichia,,,,,,,,1.0,II,0.0372340425531915,0.044114615543187,0.563724936639392,0.420621732517595,14377.0,2.0,V,0.0106382978723404,0.0,0.366767805355914,0.000470087056351,30130.0,Pseudomonadota
67,Evtepia,,,,,,,,,,,,,,,85.0,IV,0.0053191489361702,0.0,0.395320293156085,0.0161356001988316,125.0,Bacillota_A_368345
68,Ezakiella,,,,,,,,95.0,I,0.0053191489361702,0.0,0.253735167896069,4.77470874414573e-06,98.0,,,,,,,,Bacillota_A_368345
71,Faecalimonas,,,,,,,,72.0,II,0.0159574468085106,0.0,0.49572957337585,0.280404962317756,720.0,64.0,III,0.0265957446808511,0.0003086419753086,0.539447452338379,0.021117157352615,1615.0,Bacillota_A_368345
73,Fenollaria,,,,,,,,74.0,I,0.0106382978723404,0.0399917542774686,0.359225268658933,0.000372360507382,364.0,,,,,,,,Bacillota_A_368345
74,Fimenecus,,,,,,,,89.0,I,0.0053191489361702,0.0,0.39770443375699,0.0020673558073752,2204.0,,,,,,,,Bacillota_A_368345
75,Finegoldia,,,,,,,,,,,,,,,63.0,V,0.0053191489361702,0.0,0.401876044154572,0.0010832634728688,54.0,Bacillota_A_368345
77,Fusobacterium_C,,,,,,,,90.0,0,0.0,0.0,0.0,0.0,27.0,65.0,V,0.0425531914893617,0.0972222222222222,0.567955854790861,0.0075556582212878,3519.0,Fusobacteriota
83,Holdemanella,,,,,,,,,,,,,,,25.0,VII,0.0106382978723404,0.0246913580246914,0.456281974778396,0.0678428846831373,2816.0,Bacillota_I
89,Hydrotalea,,,,,,,,,,,,,,,5.0,XI,0.0,0.0,0.0,0.0,126.0,Bacteroidota
92,Lachnoclostridium_B,,,,,,,,69.0,VII,0.0159574468085106,0.0401978973407545,0.391704685763223,0.0037471291426502,558.0,81.0,II,0.0212765957446809,0.221296296296296,0.641458011174892,0.157840531562685,551.0,Bacillota_A_368345
94,Lacticaseibacillus,,,,,,,,,,,,,,,75.0,IX,0.0,0.0,0.0,0.0,86.0,Bacillota_I
95,Lactobacillus,,,,,,,,,,,,,,,10.0,IX,0.0,0.0,0.0,0.0,5406.0,Bacillota_I
96,Lactococcus_A_346120,,,,,,,,,,,,,,,17.0,II,0.0053191489361702,0.0,0.331044817694119,0.0001279575619942,397.0,Bacillota_I
97,Lancefieldella,,,,,,,,83.0,II,0.0159574468085106,0.0006184291898577,0.474437628429729,0.129879201084775,253.0,77.0,V,0.0212765957446809,0.0382716049382716,0.55467668299957,0.0099026074250994,287.0,Actinomycetota
98,Lawsonella,,,,,,,,,,,,,,,58.0,V,0.0053191489361702,0.0,0.400240992224568,0.0010645145330283,168.0,Actinomycetota
103,Massilistercora,,,,,,,,101.0,V,0.0106382978723404,0.0202020202020202,0.309212961337781,0.0009631476641677,456.0,,,,,,,,Bacillota_A_368345
106,Merdimonas,,,,,,,,70.0,V,0.0053191489361702,0.0,0.258581331781036,0.0001063557814938,314.0,,,,,,,,Bacillota_A_368345
107,Mesorhizobium_I,,,,,,,,,,,,,,,50.0,XI,0.0,0.0,0.0,0.0,69.0,Pseudomonadota
109,Nanogingivalis,,,,,,,,85.0,II,0.0053191489361702,0.0,0.466678490176283,0.0759965769520265,30.0,,,,,,,,Patescibacteria
112,Onthenecus,,,,,,,,62.0,III,0.0372340425531915,0.0202020202020202,0.603918761717776,0.15576595382511,426.0,90.0,0,0.0,0.0,0.0,0.0,369.0,Bacillota_A_368345
113,Otoolea_134252,,,,,,,,,,,,,,,59.0,III,0.0319148936170213,0.0246913580246914,0.564690003957861,0.0233682879391304,150.0,Bacillota_A_368345
117,Peptostreptococcus,,,,,,,,,,,,,,,68.0,V,0.0106382978723404,0.0006172839506172,0.35139099891653,0.0002176412843587,411.0,Bacillota_A_368345
119,Porphyromonas_A,,,,,,,,35.0,I,0.0106382978723404,0.0202020202020202,0.305259294568048,4.42266183063549e-05,278.0,,,,,,,,Bacteroidota
121,Pseudomonas_E_647464,,,,,,,,84.0,II,0.0053191489361702,0.0,0.454474109063967,0.0801631778594462,54.0,,,,,,,,Pseudomonadota
130,Schaedlerella,,,,,,,,64.0,II,0.0212765957446809,0.0202020202020202,0.495474359865234,0.246598873723212,135.0,61.0,II,0.0053191489361702,0.0,0.454583530445662,0.0210773747084937,546.0,Bacillota_A_368345
133,Sphingomonas_L_486704,,,,,,,,,,,,,,,71.0,XI,0.0,0.0,0.0,0.0,99.0,Pseudomonadota
140,UBA644,,,,,,,,92.0,I,0.0106382978723404,0.0,0.349583580854704,0.0005879194965146,82.0,,,,,,,,Bacillota_A_368345
141,UBA737,,,,,,,,91.0,0,0.0,0.0,0.0,0.0,99.0,,,,,,,,Bacillota_A_368345
