"Source","Target","Type","Weight","Sign","asso"
"Granulicatella","Veillonella_A","Undirected",0.466545389209922,"Positive",0.430852356453612
"Granulicatella","Thomasclavelia","Undirected",0.425414649960467,"Positive",0.339703351039894
"Granulicatella","Alistipes_A_871400","Undirected",0.178119666103579,"Negative",-0.350974566491386
"Granulicatella","Faecalibacterium","Undirected",0.177263402186522,"Negative",-0.353791018763394
"Granulicatella","1_Clostridiaceae_222000(F)","Undirected",0.410226999793672,"Positive",0.304335616455254
"Granulicatella","Fusobacterium_C","Undirected",0.465411756369387,"Positive",0.428430819543872
"Granulicatella","Lancefieldella","Undirected",0.410587079240408,"Positive",0.305184817683294
"Granulicatella","Haemophilus_D_735815","Undirected",0.45625565907215,"Positive",0.408684183417876
"Streptococcus","Ruminococcus_E","Undirected",0.182179868748191,"Negative",-0.337659534161453
"Streptococcus","Alistipes_A_871400","Undirected",0.169433505191671,"Negative",-0.379681404596387
"Streptococcus","Faecalibacterium","Undirected",0.133519666297644,"Negative",-0.501576337385894
"Streptococcus","Pauljensenia","Undirected",0.479082913062024,"Positive",0.457290777072107
"Streptococcus","Clostridium_AP_143938","Undirected",0.418926628871395,"Positive",0.324707474730477
"Streptococcus","Nanosynbacter","Undirected",0.420693999101757,"Positive",0.32880911464657
"Streptococcus","Dysosmobacter","Undirected",0.183029957712561,"Negative",-0.334880099990281
"Streptococcus","Dorea_A","Undirected",0.164734734123529,"Negative",-0.395336128759384
"Streptococcus","Ruthenibacterium","Undirected",0.172220200397746,"Negative",-0.370438793259094
"Streptococcus","Lancefieldella","Undirected",0.430565089031457,"Positive",0.351487764340496
"Streptococcus","Haemophilus_D_735815","Undirected",0.501788942484576,"Positive",0.503571484338725
"Veillonella_A","Thomasclavelia","Undirected",0.422083469177001,"Positive",0.332024966803019
"Veillonella_A","Dorea_A","Undirected",0.18657543480932,"Negative",-0.323319046511294
"Veillonella_A","Ruthenibacterium","Undirected",0.193247802295901,"Negative",-0.301698217000788
"Veillonella_A","1_Clostridiaceae_222000(F)","Undirected",0.42296764214988,"Positive",0.334067315987862
"Veillonella_A","Fusobacterium_C","Undirected",0.448695460172687,"Positive",0.392126608731589
"Veillonella_A","Ruminococcus_B","Undirected",0.414968947842992,"Positive",0.315477336024128
"Veillonella_A","Haemophilus_D_735815","Undirected",0.517598378791499,"Positive",0.53457735171082
"Lactococcus_A_346120","Enterococcus_H_360604","Undirected",0.418226123026779,"Positive",0.323078312143094
"Enterococcus_H_360604","Blautia_A_141781","Undirected",0.191382910384238,"Negative",-0.30772319523733
"Collinsella","Holdemanella","Undirected",0.42311257471834,"Positive",0.334401797103795
"Collinsella","Agathobaculum","Undirected",0.425675772521717,"Positive",0.340303363462947
"Collinsella","Bariatricus","Undirected",0.460636377630588,"Positive",0.418173765729094
"Collinsella","Dorea_A","Undirected",0.448760756877535,"Positive",0.392270593683545
"Collinsella","Ruthenibacterium","Undirected",0.413837822431431,"Positive",0.312827803176146
"Collinsella","UMGS1071","Undirected",0.432462933695248,"Positive",0.355803356740391
"Turicibacter","Clostridium_T","Undirected",0.417153527744705,"Positive",0.320579979559116
"Turicibacter","Romboutsia_B","Undirected",0.469208081082746,"Positive",0.436519877624278
"Turicibacter","Dialister_37762","Undirected",0.191387464059668,"Negative",-0.30770846655971
"Ruminococcus_E","Vescimonas","Undirected",0.420627122084288,"Positive",0.328654136671331
"Ruminococcus_E","Hominilimicola","Undirected",0.409183026668573,"Positive",0.301870608046983
"Faecalibacillus","Faecalibacterium","Undirected",0.416937486104429,"Positive",0.320076209779554
"Thomasclavelia","Faecalibacterium","Undirected",0.18177522878141,"Negative",-0.338983552471427
"Thomasclavelia","Clostridium_T","Undirected",0.432947805796031,"Positive",0.356903618096929
"Thomasclavelia","Ruminococcus_B","Undirected",0.499702292543945,"Positive",0.499404407828432
"Alistipes_A_871400","Hominicoprocola","Undirected",0.430514321888971,"Positive",0.351372124852842
"Alistipes_A_871400","Odoribacter_865974","Undirected",0.455887456113723,"Positive",0.407883079171208
"Alistipes_A_871400","Parabacteroides_B_862066","Undirected",0.464193102967519,"Positive",0.425821938184848
"Alistipes_A_871400","Vescimonas","Undirected",0.409583129854758,"Positive",0.302815838895794
"Alistipes_A_871400","Merdimmobilis","Undirected",0.418296138091919,"Positive",0.323241234082448
"Alistipes_A_871400","Agathobacter_164117","Undirected",0.412867144888171,"Positive",0.310550020896464
"Alistipes_A_871400","Ruminococcus_C_58660","Undirected",0.409592826609323,"Positive",0.302838739217663
"Alistipes_A_871400","Haemophilus_D_735815","Undirected",0.177183057477912,"Negative",-0.354055441802794
"Holdemanella","Prevotella","Undirected",0.411847590254929,"Positive",0.308153485822132
"1_Peptostreptococcaceae_256921(F)","Clostridium_T","Undirected",0.453142078803723,"Positive",0.401892828049773
"1_Peptostreptococcaceae_256921(F)","1_Clostridiaceae_222000(F)","Undirected",0.439450668721359,"Positive",0.371568894406136
"Eggerthella","Blautia_A_141781","Undirected",0.485910850592189,"Positive",0.471424692922306
"Eggerthella","Hominicoprocola","Undirected",0.184810387192682,"Negative",-0.329068209657889
"Eggerthella","Anaerostipes","Undirected",0.455124607513055,"Positive",0.406221613324396
"Eggerthella","Sellimonas","Undirected",0.447629455032252,"Positive",0.389773562104067
"Eggerthella","Ruminococcus_B","Undirected",0.415689371225405,"Positive",0.317162178202075
"Eggerthella","Lancefieldella","Undirected",0.419413279811032,"Positive",0.325838120680434
"Faecalibacterium","Phocaeicola_A","Undirected",0.532266161356645,"Positive",0.562450112375903
"Faecalibacterium","Pauljensenia","Undirected",0.148883199351976,"Negative",-0.448799616690657
"Faecalibacterium","Agathobaculum","Undirected",0.474162235830015,"Positive",0.446989291545423
"Faecalibacterium","Merdimmobilis","Undirected",0.437901051226447,"Positive",0.368089543575332
"Faecalibacterium","Anaerobutyricum","Undirected",0.418627048185465,"Positive",0.324010981796908
"Faecalibacterium","Dorea_A","Undirected",0.524828833274094,"Positive",0.548424724624682
"Faecalibacterium","Lachnospira","Undirected",0.433574261454944,"Positive",0.358323765427375
"Faecalibacterium","Dialister_37762","Undirected",0.450920171152394,"Positive",0.397022683105366
"Faecalibacterium","Agathobacter_164117","Undirected",0.450340026982488,"Positive",0.395747828124776
"Faecalibacterium","1_Clostridiaceae_222000(F)","Undirected",0.186140631423735,"Negative",-0.324734143638712
"Faecalibacterium","Ruminococcus_B","Undirected",0.170831747250179,"Negative",-0.375039982736382
"Faecalibacterium","Hominilimicola","Undirected",0.429793049564926,"Positive",0.349728067351066
"Dialister_36337","Peptostreptococcus","Undirected",0.417984418597939,"Positive",0.322515726010441
"Dialister_36337","Fusobacterium_C","Undirected",0.427848049685408,"Positive",0.345284291502418
"Blautia_A_141781","Anaerostipes","Undirected",0.461319134700138,"Positive",0.419645850719584
"Blautia_A_141781","Romboutsia_B","Undirected",0.455676904211893,"Positive",0.407424734783302
