Source,Target,Type,Weight,Sign,asso
Bifidobacterium_388775,Vescimonas,Undirected,0.179700978396003,Negative,-0.345780969688951
Bifidobacterium_388775,Alistipes_A_871404,Undirected,0.167471781533703,Negative,-0.386206469085331
Bifidobacterium_388775,Anaerostipes,Undirected,0.565706680479352,Positive,0.622778625239472
Bifidobacterium_388775,Clostridium_T,Undirected,0.517744867779929,Positive,0.534859974894805
Bifidobacterium_388775,UBA5905,Undirected,0.173649285920285,Negative,-0.365711005320109
Bifidobacterium_388775,Dysosmobacter,Undirected,0.1448777480653,Negative,-0.462468131507744
Bifidobacterium_388775,Anaerobutyricum,Undirected,0.534790865754175,Positive,0.567160922828499
Bifidobacterium_388775,Dorea_A,Undirected,0.464728524105948,Positive,0.426968894188406
Bifidobacterium_388775,Romboutsia_B,Undirected,0.511456525208605,Positive,0.5226505464775
Bifidobacterium_388775,Lentihominibacter,Undirected,0.471006599499237,Positive,0.440331964453278
Bifidobacterium_388775,Intestinibacter,Undirected,0.485969048048658,Positive,0.471544360871994
Bifidobacterium_388775,Fusicatenibacter,Undirected,0.421913693247425,Positive,0.331632443890337
Bifidobacterium_388775,Acetatifactor,Undirected,0.186591231188803,Negative,-0.323267650357893
Bifidobacterium_388775,Lawsonibacter,Undirected,0.161510818473302,Negative,-0.406128215074624
Bifidobacterium_388775,Eubacterium_F,Undirected,0.156064687915988,Negative,-0.424453621964678
Bifidobacterium_388775,Faecousia,Undirected,0.168449704077193,Negative,-0.382951789298617
Bifidobacterium_388775,Gordonibacter,Undirected,0.464841603560062,Positive,0.427210981439668
Enterococcus_B,Streptococcus,Undirected,0.416125003921279,Positive,0.318179977908148
Enterococcus_B,Thomasclavelia,Undirected,0.413442607838498,Positive,0.311900851401396
Enterococcus_B,Clostridium_T,Undirected,0.437335395056182,Positive,0.366817084686835
Eubacterium_G_180878,Faecalibacterium,Undirected,0.444442157001242,Positive,0.382710966165134
Eubacterium_G_180878,Phocaeicola_A,Undirected,0.439119149889397,Positive,0.370825343958414
Eubacterium_G_180878,Vescimonas,Undirected,0.40858723022735,Positive,0.300461871499686
Eubacterium_G_180878,Agathobaculum,Undirected,0.411638775588111,Positive,0.307662139217085
Eubacterium_G_180878,Lachnospira,Undirected,0.44785224208194,Positive,0.390265706852119
Eubacterium_G_180878,Agathobacter_164117,Undirected,0.441462882546999,Positive,0.376072576854585
1_Christensenellales(O),Streptococcus,Undirected,0.190605888115952,Negative,-0.310237656705132
1_Christensenellales(O),Alistipes_A_871400,Undirected,0.435711378267849,Positive,0.363156702767259
1_Christensenellales(O),Blautia_A_141781,Undirected,0.186004009183893,Negative,-0.325178946129392
1_Christensenellales(O),Hominicoprocola,Undirected,0.420124967846726,Positive,0.327489894170479
1_Christensenellales(O),Phocaeicola_A,Undirected,0.410719735928822,Positive,0.305497540752404
1_Christensenellales(O),Clostridium_T,Undirected,0.171306075471618,Negative,-0.373467241100503
1_Christensenellales(O),UBA5905,Undirected,0.487303899624815,Positive,0.474285417320156
1_Christensenellales(O),Anaerobutyricum,Undirected,0.191335829252669,Negative,-0.307875482100938
1_Christensenellales(O),Romboutsia_B,Undirected,0.185857758913544,Negative,-0.325655177442554
1_Christensenellales(O),Intestinibacter,Undirected,0.193512594795688,Negative,-0.300843869506368
1_Christensenellales(O),Eubacterium_F,Undirected,0.420580343493296,Positive,0.328545723307307
Gemella,Streptococcus,Undirected,0.453132743359048,Positive,0.401872407227999
Gemella,Blautia_A_141781,Undirected,0.419967416628345,Positive,0.327124404454409
Gemella,Clostridium_T,Undirected,0.412165451880257,Positive,0.308901088073715
Granulicatella,Streptococcus,Undirected,0.445001639322552,Positive,0.383953639290691
Granulicatella,Hominicoprocola,Undirected,0.188728143585898,Negative,-0.316324050019168
Streptococcus,Collinsella,Undirected,0.429077715018087,Positive,0.348095489022062
Streptococcus,Turicibacter,Undirected,0.454051701700562,Positive,0.403880911167895
Streptococcus,Alistipes_A_871400,Undirected,0.12118478960536,Negative,-0.544632348041952
Streptococcus,Eggerthella,Undirected,0.462572628613413,Positive,0.422343640969006
Streptococcus,Blautia_A_141781,Undirected,0.602151643907738,Positive,0.683433371109369
Streptococcus,CAG-269,Undirected,0.171567967344516,Negative,-0.372599265459394
Streptococcus,Hominicoprocola,Undirected,0.1737237659503,Negative,-0.365464829910708
Streptococcus,Odoribacter_865974,Undirected,0.174679092378603,Negative,-0.362309201114013
Streptococcus,Phocaeicola_A,Undirected,0.129299557098493,Negative,-0.51623852253776
Streptococcus,Pauljensenia,Undirected,0.478864846379583,Positive,0.45683630332205
Streptococcus,Parabacteroides_B_862066,Undirected,0.147454377643011,Negative,-0.453668076400131
Streptococcus,Vescimonas,Undirected,0.152430689173877,Negative,-0.43674747330854
Streptococcus,Alistipes_A_871404,Undirected,0.130313864046064,Negative,-0.512707950140975
Streptococcus,Butyricimonas,Undirected,0.185488566865425,Negative,-0.326857749413878
Streptococcus,Anaerostipes,Undirected,0.525421170993963,Positive,0.549549870118518
Streptococcus,Clostridium_T,Undirected,0.551972181111404,Positive,0.598542147003854
Streptococcus,Barnesiella_B,Undirected,0.140646139491688,Negative,-0.47697811514108
Streptococcus,Nanosynbacter,Undirected,0.445480345160856,Positive,0.385015904794152
Streptococcus,1_Chloroplast(C),Undirected,0.411292041742245,Positive,0.306845879767971
Streptococcus,UBA5905,Undirected,0.149631316051585,Negative,-0.446253797280317
Streptococcus,Dysosmobacter,Undirected,0.139821005304228,Negative,-0.47981580583166
Streptococcus,Merdimmobilis,Undirected,0.188843987522103,Negative,-0.315948153158084
Streptococcus,Anaerobutyricum,Undirected,0.481764054604046,Positive,0.462863009799123
Streptococcus,Dorea_A,Undirected,0.466842155972851,Positive,0.431485426704645
Streptococcus,Romboutsia_B,Undirected,0.499588461320166,Positive,0.499176583912161
Streptococcus,Lentihominibacter,Undirected,0.423850043431156,Positive,0.336102455091439
Streptococcus,Terrisporobacter,Undirected,0.422541627364142,Positive,0.333083655745494
Streptococcus,Intestinibacter,Undirected,0.462286663569158,Positive,0.421728735648824
Streptococcus,CAG-177,Undirected,0.18879145275949,Negative,-0.316118614232118
Streptococcus,Acetatifactor,Undirected,0.187519587168522,Negative,-0.320248842469618
Streptococcus,Lawsonibacter,Undirected,0.165634377020328,Negative,-0.392331985620512
Streptococcus,Blautia_A_141893,Undirected,0.41169807417736,Positive,0.307801688146747
Streptococcus,Eubacterium_F,Undirected,0.166252833051984,Negative,-0.390268676787686
Streptococcus,Slackia,Undirected,0.420302420379768,Positive,0.327901432364889
Streptococcus,Faecousia,Undirected,0.166537791965325,Negative,-0.389318504444071
Streptococcus,Anaerotardibacter,Undirected,0.423877997277055,Positive,0.336166875957005
Streptococcus,Parasutterella_564865,Undirected,0.18330818570023,Negative,-0.3339710390885
Veillonella_A,Agathobaculum,Undirected,0.446864221547351,Positive,0.388081621191163
Veillonella_A,Ruthenibacterium,Undirected,0.182536946260884,Negative,-0.336491688456961
Veillonella_A,Lachnospira,Undirected,0.408584478677634,Positive,0.300455362277988
Veillonella_A,1_Anaerovoracaceae(F),Undirected,0.188855403673885,Negative,-0.315911112298114
Veillonella_A,Roseburia_A_166204,Undirected,0.490754475973962,Positive,0.481337992518892
Veillonella_A,Hominilimicola,Undirected,0.408465515174399,Positive,0.300173906524222
Veillonella_A,Haemophilus_D_735815,Undirected,0.474292421148102,Positive,0.447263083075351
Veillonella_A,1_Aristaeellaceae(F),Undirected,0.192248350974027,Negative,-0.304925453008358
Veillonella_A,UMGS1071,Undirected,0.430421662774021,Positive,0.351161035525778
Collinsella,Blautia_A_141781,Undirected,0.433699683067025,Positive,0.358607902083224
Collinsella,Anaerotruncus,Undirected,0.174307928398236,Negative,-0.363534794212024
Collinsella,Anaerobutyricum,Undirected,0.419698422990167,Positive,0.326500159439801
Collinsella,Dorea_A,Undirected,0.449255843733028,Positive,0.393361748675562
Collinsella,Lentihominibacter,Undirected,0.467322340574429,Positive,0.432509022297791
Collinsella,Terrisporobacter,Undirected,0.437807741940296,Positive,0.367879729955463
Collinsella,Anaerotardibacter,Undirected,0.430063011829576,Positive,0.350343659030451
Turicibacter,Alistipes_A_871400,Undirected,0.159777641978721,Negative,-0.411947221837678
Turicibacter,Blautia_A_141781,Undirected,0.42609586847486,Positive,0.34126809563675
Turicibacter,Hominicoprocola,Undirected,0.178990799512962,Negative,-0.348112214568731
Turicibacter,Phocaeicola_A,Undirected,0.17513360768227,Negative,-0.360809130350534
Turicibacter,Alistipes_A_871404,Undirected,0.190450601633988,Negative,-0.310740456789545
Turicibacter,Clostridium_T,Undirected,0.485351384647902,Positive,0.470273605432337
Turicibacter,Romboutsia_B,Undirected,0.536481950734775,Positive,0.570302036010721
Turicibacter,Terrisporobacter,Undirected,0.473164035041544,Positive,0.444887732052586
Turicibacter,Intestinibacter,Undirected,0.526848765405307,Positive,0.552255818403035
Turicibacter,Faecousia,Undirected,0.179174422950636,Negative,-0.347509255876843
1_Eggerthellaceae(F),Alistipes_A_871400,Undirected,0.190892296700261,Negative,-0.309310551077958
Ruminococcus_E,Faecalibacillus,Undirected,0.452040604777707,Positive,0.399481002375237
Ruminococcus_E,Anaerobutyricum,Undirected,0.456061979825541,Positive,0.408262860417379
Ruminococcus_E,Fusicatenibacter,Undirected,0.434859542168129,Positive,0.361232525843167
Ruminococcus_E,Hominibacterium,Undirected,0.414621900064717,Positive,0.314664960232316
Ruminococcus_E,Hungatella_A_128155,Undirected,0.190674635579167,Negative,-0.310015090989828
Ruminococcus_E,Gordonibacter,Undirected,0.417580281801837,Positive,0.321574543707945
Faecalibacillus,Alistipes_A_871400,Undirected,0.180650334921363,Negative,-0.342667747328951
Faecalibacillus,Blautia_A_141781,Undirected,0.473894707847374,Positive,0.446426443138
Faecalibacillus,Phocaeicola_A,Undirected,0.168420442659932,Negative,-0.383049120371806
Faecalibacillus,Parabacteroides_B_862066,Undirected,0.192792405646225,Negative,-0.303168200764816
Faecalibacillus,Butyricimonas,Undirected,0.17662901804413,Negative,-0.355879547853946
Faecalibacillus,Anaerostipes,Undirected,0.456304353502473,Positive,0.408790087959272
Faecalibacillus,Anaerobutyricum,Undirected,0.477362877334713,Positive,0.453700876024299
Faecalibacillus,Dorea_A,Undirected,0.504589856791879,Positive,0.509137580013019
Faecalibacillus,Fusicatenibacter,Undirected,0.437272780974947,Positive,0.366676153936661
Faecalibacillus,Agathobacter_164117,Undirected,0.425816040257709,Positive,0.340625560749326
Faecalibacillus,Hominibacterium,Undirected,0.415043041640366,Positive,0.315650713733292
Faecalibacillus,Mediterraneibacter_A_155507,Undirected,0.466709747054011,Positive,0.431203012225606
Faecalibacillus,Gordonibacter,Undirected,0.428638995952866,Positive,0.347093206108503
