#SampleID	shannon_entropy
SRR23478191	4.563695002774608
SRR23478195	1.1011167578680783
SRR23478196	4.9538799239921865
SRR23478197	3.6104996567109024
SRR23478198	4.243377933343544
SRR23478199	3.6278930050288007
SRR23478200	4.558052817791888
SRR23478201	3.870984444776376
SRR23478202	3.9430423762160554
SRR23478203	5.016455475368726
SRR23478204	4.592625800512445
SRR23478205	3.1225660051944386
SRR23478206	4.360962300989249
SRR23478207	5.024254054463401
SRR23478208	3.157295689449441
SRR23478209	4.930291122733245
SRR23478210	5.20022841392355
SRR23478211	2.1982751758754158
SRR23478212	4.78734326473761
SRR23478213	3.352389863616052
SRR23478214	5.018131321613567
SRR23478215	4.980738090192065
SRR23478216	4.116143599129796
SRR23478217	4.168137765381843
SRR23478218	4.609546005975912
SRR23478220	5.304662408999421
SRR23478227	1.246124097886171
SRR23478228	4.507036556862736
SRR23478229	5.2736557215476
SRR23478230	4.017523517699628
SRR23478231	4.029889887422089
SRR23478232	3.7657678454531474
SRR23478233	4.626554081433468
SRR23478234	5.610610366208571
SRR23478235	6.152822712662798
SRR23478236	2.8051162891107655
SRR23478237	4.342842231035902
SRR23478238	4.454250323150821
SRR23478239	4.8123261412049745
SRR23478240	4.074636709343596
SRR23478241	5.4570069256261675
SRR23478242	4.872163141390051
SRR23478243	5.543593346727497
SRR23478244	4.904817987903976
SRR23478245	4.688515964321204
SRR23478246	5.516535670033364
SRR23478247	4.928727438698805
SRR23478248	5.089023692575447
SRR23478249	0.8593912203525366
SRR23478250	5.325694395876842
SRR23478251	3.8517883059991607
SRR23478252	2.7462659300538697
SRR23478253	3.8319964741686605
SRR23478254	3.0378307646176546
SRR23478255	5.553859729134573
SRR23478256	4.604855663468012
SRR23478257	3.8213071098837292
SRR23478258	5.854434495856155
SRR23478259	5.226763507288314
SRR23478260	4.779744348151771
SRR23478261	4.803424578711755
SRR23478262	6.078283255568088
SRR23478263	5.080417834273228
SRR23478264	3.6275722895207676
SRR23478265	4.968872974034861
SRR23478266	4.519559662524707
SRR23478267	4.563183728901735
SRR23478268	5.321341000493971
SRR23478269	3.8302622852347477
SRR23478270	4.55459121950918
SRR23478271	4.895289712573667
SRR23478272	4.566551889704974
SRR23478273	4.661394143216686
SRR23478274	3.1643442088898075
SRR23478275	2.889381343380815
SRR23478276	5.956466280886408
SRR23478277	2.9784620435441043
SRR23478278	4.865880937012114
SRR23478279	4.882785522755903
SRR23478280	2.915383889102302
SRR23478281	4.400757636655676
SRR23478282	5.212509970078427
SRR23478283	4.478570001568377
SRR23478284	4.59189687834477
SRR23478285	5.236956462965627
SRR23478286	5.537834983325844
SRR23478287	4.417319261618326
SRR23478288	4.619820270302269
SRR23478289	5.255901408058673
SRR23478290	5.9224604769088645
SRR23478291	5.202293619924234
SRR23478292	5.550865873386859
SRR23478293	5.2086348897425605
SRR23478294	4.965008044649959
SRR23492483	4.097842157692369
SRR23492508	4.654286855812956
SRR23492516	1.435537881661298
SRR23492517	4.244306544075075
SRR23492518	5.051689892155886
SRR23492520	5.044491876538556
SRR23492521	4.189005549562779
SRR23492522	4.704000006217871
SRR23492523	2.9457545893123247
SRR23492524	4.982707378038913
SRR23492525	4.175235621530555
SRR23492530	4.1970864945436706
SRR23492531	5.205177283577596
SRR23492532	5.053771829284389
SRR23492534	4.2854042530339544
SRR23492545	3.2157048439451583
SRR23492546	4.98396432728683
SRR23492547	4.060308316955778
SRR23492549	4.987416397280779
SRR23492550	5.441323278299445
SRR23492551	4.237401345939074
SRR23492553	4.889096707014312
SRR23492554	5.71496702430253
SRR23492555	3.4661408360969967
SRR23492556	4.441600797470928
SRR23492560	4.599115993266354
SRR29856071	3.2356921694447447
SRR29856073	3.526089498489541
SRR29856074	4.724378148170699
SRR29856077	5.025812148147441
SRR29856079	4.737014733682443
SRR29856080	2.173838119343219
SRR29856082	4.942906143032756
SRR29856083	1.8695263026240232
SRR29856085	5.304556038219477
SRR29856086	4.694414674517243
SRR29856087	4.766202870803996
SRR29856088	3.9472772921691606
SRR29856090	4.771797286022628
SRR29856091	4.423020711084086
SRR29856092	4.5553491858007495
SRR29856093	1.4890070799475332
SRR29856094	4.374553367526228
SRR29856095	4.2103160985130685
SRR29856096	4.794920361815222
SRR29856097	4.446862159179906
SRR29856098	5.17595427582892
SRR29856099	3.9039136050908705
SRR29856102	5.564655795253496
