#SampleID	real_age	pred_age	real_year	pred_year
SRR23478272	126.0	140.0189891187244	10.0	11.168249093227033
SRR23478230	54.0	58.288100732600725	4.0	4.357341727716727
SRR23478245	90.0	131.88319463869465	7.0	10.49026621989122
SRR23478200	30.0	41.40178571428572	2.0	2.95014880952381
SRR23478202	138.0	94.91670562770564	11.0	7.40972546897547
SRR23478214	42.0	96.15147852147852	3.0	7.512623210123211
SRR23478249	90.0	110.9401492774063	7.0	8.745012439783858
SRR23478232	54.0	51.82493406593407	4.0	3.8187445054945064
SRR23478206	30.0	39.09146087246088	2.0	2.7576217393717397
SRR23478205	30.0	67.78458568882097	2.0	5.148715474068414
SRR23478268	114.0	79.49485714285714	9.0	6.1245714285714286
SRR23478285	174.0	74.0952987012987	14.0	5.6746082251082255
SRR23478244	78.0	107.31219724393253	6.0	8.442683103661045
SRR23478231	150.0	90.76605755029283	12.0	7.063838129191069
SRR23478239	78.0	67.69657342657342	6.0	5.141381118881118
SRR23478258	102.0	117.54402656641605	8.0	9.295335547201338
SRR23478288	186.0	126.62958983369572	15.0	10.052465819474643
SRR23478269	114.0	59.48599267399267	9.0	4.457166056166056
SRR23478267	114.0	92.39154830659538	9.0	7.199295692216282
SRR23478216	42.0	83.5584899414311	3.0	6.463207495119259
SRR23478199	30.0	56.1386696205755	2.0	4.178222468381292
SRR23478266	114.0	86.10570898905019	9.0	6.675475749087515
SRR23478233	54.0	35.84222644022644	4.0	2.4868522033522034
SRR23478207	30.0	78.83434537815127	2.0	6.069528781512606
SRR23478261	102.0	125.50318398268399	8.0	9.958598665223667
SRR23478238	66.0	96.15071367456076	5.0	7.5125594728800635
SRR23478270	114.0	126.02790218800807	9.0	10.002325182334006
SRR23478209	30.0	57.35290909090909	2.0	4.27940909090909
SRR23478277	126.0	111.70074811153762	10.0	8.808395675961469
SRR23478254	102.0	106.97461913772503	8.0	8.414551594810419
SRR23478234	54.0	114.14677794754263	4.0	9.012231495628553
SRR23478237	66.0	67.3012087912088	5.0	5.108434065934066
SRR23478198	30.0	57.05638214004777	2.0	4.2546985116706475
SRR23478265	114.0	135.81234244352137	9.0	10.817695203626782
SRR23478263	114.0	90.89798686865251	9.0	7.074832239054376
SRR23478212	42.0	49.56364431646785	3.0	3.6303036930389876
SRR23478281	138.0	128.5658985540775	11.0	10.21382487950646
SRR23478286	174.0	113.5394033495916	14.0	8.9616169457993
SRR23478247	90.0	56.03999190283402	7.0	4.1699993252361685
SRR23478283	138.0	126.44999379217275	11.0	10.037499482681062
SRR23478243	78.0	104.92760606060605	6.0	8.243967171717172
SRR23478208	30.0	73.4899936932005	2.0	5.624166141100042
SRR23478293	162.0	147.61038340256232	13.0	11.80086528354686
SRR23478227	42.0	108.97736791804688	3.0	8.581447326503907
SRR23478218	42.0	69.01413245639809	3.0	5.251177704699841
SRR23478204	30.0	43.17960127000025	2.0	3.098300105833354
SRR23478246	90.0	102.41991749427044	7.0	8.034993124522536
SRR23478240	78.0	114.54340476190478	6.0	9.045283730158731
SRR23478276	126.0	129.36622549019611	10.0	10.280518790849676
