#SampleID	real_age	pred_age	real_year	pred_year
SRR23492483	162.0	104.10594648488767	13.0	8.175495540407306
SRR23492508	42.0	42.90429527139528	3.0	3.0753579392829398
SRR23492516	186.0	77.27617650780593	15.0	5.939681375650494
SRR23492517	198.0	86.05265324314489	16.0	6.671054436928741
SRR23492518	186.0	118.94581641268944	15.0	9.41215136772412
SRR23492520	186.0	84.24320374527434	15.0	6.520266978772862
SRR23492521	102.0	128.18315475504892	8.0	10.181929562920743
SRR23492522	66.0	69.34093424222834	5.0	5.278411186852362
SRR23492523	198.0	74.19522729035671	16.0	5.682935607529726
SRR23492524	174.0	45.54580341227401	14.0	3.295483617689501
SRR23492525	186.0	106.86017524436346	15.0	8.405014603696955
SRR23492530	174.0	83.59645123308066	14.0	6.466370936090055
SRR23492531	102.0	85.22214386954633	8.0	6.601845322462194
SRR23492532	174.0	45.34734403831463	14.0	3.278945336526219
SRR23492534	150.0	42.02208882294177	12.0	3.0018407352451475
SRR23492545	198.0	120.06929549047442	16.0	9.505774624206202
SRR23492546	126.0	82.23454596548962	10.0	6.352878830457468
SRR23492547	102.0	60.835322510822515	8.0	4.5696102092352096
SRR23492549	18.0	44.491444553485735	1.0	3.2076203794571447
SRR23492550	90.0	95.87121633268687	7.0	7.489268027723906
SRR23492551	186.0	96.83062909020803	15.0	7.56921909085067
SRR23492553	186.0	69.30009635823413	15.0	5.275008029852844
SRR23492554	66.0	62.21592857142858	5.0	4.684660714285715
SRR23492555	150.0	55.532133387871156	12.0	4.127677782322596
SRR23492556	42.0	84.97678250346145	3.0	6.581398541955121
SRR23492560	210.0	51.18200522810523	17.0	3.7651671023421027
SRR29856071	210.0	53.693588010029195	17.0	3.9744656675024332
SRR29856073	174.0	71.43612280660517	14.0	5.453010233883764
SRR29856074	138.0	112.02781373528433	11.0	8.835651144607027
SRR29856077	198.0	107.15929243305715	16.0	8.429941036088096
SRR29856079	174.0	60.40446906035141	14.0	4.533705755029284
SRR29856080	162.0	60.4201615263993	13.0	4.535013460533275
SRR29856082	54.0	73.19328711288712	4.0	5.599440592740593
SRR29856083	186.0	70.3087428274512	15.0	5.3590619022876
SRR29856085	186.0	70.72025845362069	15.0	5.393354871135057
SRR29856086	174.0	98.58581763334705	14.0	7.715484802778921
SRR29856087	174.0	91.29618714618715	14.0	7.108015595515596
SRR29856088	174.0	39.21899708135003	14.0	2.7682497567791695
SRR29856090	150.0	75.62314421656774	12.0	5.801928684713978
SRR29856091	126.0	89.07213414655521	10.0	6.922677845546268
SRR29856092	174.0	70.6328027498817	14.0	5.386066895823475
SRR29856093	114.0	77.25230835634954	9.0	5.937692363029129
SRR29856094	162.0	60.72710363166246	13.0	4.560591969305205
SRR29856095	162.0	107.99988968059805	13.0	8.499990806716504
SRR29856096	162.0	115.61103414851405	13.0	9.134252845709504
SRR29856097	102.0	88.08500249554369	8.0	6.840416874628641
SRR29856098	138.0	54.21157400442695	11.0	4.017631167035579
SRR29856099	150.0	82.98062337662338	12.0	6.415051948051949
SRR29856102	186.0	74.90121804665922	15.0	5.741768170554935
